DATE;45891;45892;45893;45894;45895;45896;45897;AVERAGE FOR WEEK;AVERAGE FOR MONTH
ACTUAL;84,98786886;100;100;100;100;99,63100085;96,42027624;98,91878108;96,9118335
TARGET;95;95;95;95;95;95;95;95;95
